num,features
2,BraakStage
3,ThalStage
4,AbStageTypical
5,PARTdefinite
6,PARTall
7,CAAAreas
8,CAAType
9,CAAParenc
10,CAAMeningeal
11,CAATotalSev
12,CAAFrontal
13,CAATemp
14,CAAParietal
15,CAAOccipital
16,CAAHippocampus
17,CAACerebellum
18,BrainNetStage
19,HippocTauStage
20,CxSPETSA
21,MTSPETSA
22,BSSPETSA
23,TSAAny
24,TSATotal
25,TuftedAst
26,SubpialMesTemp
27,SubpialBrainstem
28,ArgyrGrains
29,CorticalStage
30,SubcorticalStage
31,MicroinfarctStage
32,FrontalMicroin
33,TempMicroinf
34,ParMicrin
35,OccipMicroing
36,aged
37,brainwgt
38,dem_nver4
